date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
2021-03-25,荷属安的列斯,,,,,,6424,0,4952,27
2021-03-25,圣马丁,,,,,,2108,0,2060,27
2021-03-25,钻石公主号邮轮,,,,,,712,0,653,13
2021-03-25,安道尔,AD,,,,,11638,0,11082,114
2021-03-25,阿联酋,AE,,,,,448637,0,431773,1466
2021-03-25,阿富汗,AF,,,,,56254,0,49937,2469
2021-03-25,安提瓜和巴布达,AG,,,,,1100,0,743,28
2021-03-25,安圭拉,AI,,,,,22,0,20,0
2021-03-25,阿尔巴尼亚,AL,,,,,122295,0,87193,2171
2021-03-25,亚美尼亚,AM,,,,,187441,0,169727,3416
2021-03-25,安哥拉,AO,,,,,21836,0,20172,532
2021-03-25,阿根廷,AR,,,,,2269877,0,2049035,54946
2021-03-25,奥地利,AT,,,,,526393,0,483460,9178
2021-03-25,澳大利亚,AU,,,,,29228,0,26257,909
2021-03-25,阿鲁巴,AW,,,,,8985,0,8336,82
2021-03-25,阿塞拜疆,AZ,,,,,250921,0,234382,3421
2021-03-25,波黑,BA,,,,,158198,0,127247,6067
2021-03-25,巴巴多斯,BB,,,,,3582,0,3401,40
2021-03-25,孟加拉国,BD,,,,,584395,0,529594,8797
2021-03-25,比利时,BE,,,,,849090,0,55928,22786
2021-03-25,布基纳法索,BF,,,,,12596,0,12269,145
2021-03-25,保加利亚,BG,,,,,317116,0,242311,12413
2021-03-25,巴林,BH,,,,,138283,0,130397,507
2021-03-25,布隆迪,BI,,,,,2657,0,773,6
2021-03-25,贝宁,BJ,,,,,7100,0,5552,90
2021-03-25,圣巴泰勒米,BL,,,,,775,0,462,1
2021-03-25,百慕大,BM,,,,,880,0,718,12
2021-03-25,文莱,BN,,,,,206,0,188,3
2021-03-25,玻利维亚,BO,,,,,267059,0,214988,12107
2021-03-25,巴西,BR,,,,,12227179,0,10689646,301087
2021-03-25,巴哈马,BS,,,,,8935,0,7757,188
2021-03-25,不丹,BT,,,,,870,0,867,1
2021-03-25,博茨瓦纳,BW,,,,,37559,0,32550,485
2021-03-25,白俄罗斯,BY,,,,,314993,0,305560,2193
2021-03-25,伯利兹,BZ,,,,,12410,0,12047,317
2021-03-25,加拿大,CA,,,,,946370,0,886512,22759
2021-03-25,刚果（金）,CD,,,,,27729,0,25355,726
2021-03-25,中非,CF,,,,,5088,0,4957,64
2021-03-25,刚果（布）,CG,,,,,9681,0,7514,135
2021-03-25,瑞士,CH,,,,,590164,0,541208,10278
2021-03-25,科特迪瓦,CI,,,,,41307,0,37320,224
2021-03-25,智利,CL,,,,,947783,0,888826,22402
2021-03-25,喀麦隆,CM,,,,,40622,0,35261,601
2021-03-25,中国,CN,,,,,102624,4,97353,4850
2021-03-25,中国,CN,北京市,110000,,,1049,0,1037,9
2021-03-25,中国,CN,北京市,110000,未公布来源,1100xx,6,0,815,9
2021-03-25,中国,CN,北京市,110000,外地来京,1100xy,26,0,2,0
2021-03-25,中国,CN,北京市,110000,境外输入,1100y0,221,0,195,0
2021-03-25,中国,CN,北京市,110000,东城区,110101,19,0,0,0
2021-03-25,中国,CN,北京市,110000,西城区,110102,59,0,2,0
2021-03-25,中国,CN,北京市,110000,朝阳区,110105,79,0,1,0
2021-03-25,中国,CN,北京市,110000,丰台区,110106,273,0,3,0
2021-03-25,中国,CN,北京市,110000,石景山区,110107,15,0,1,0
2021-03-25,中国,CN,北京市,110000,海淀区,110108,82,0,0,0
2021-03-25,中国,CN,北京市,110000,门头沟区,110109,5,0,0,0
2021-03-25,中国,CN,北京市,110000,房山区,110111,19,0,0,0
2021-03-25,中国,CN,北京市,110000,通州区,110112,20,0,0,0
2021-03-25,中国,CN,北京市,110000,顺义区,110113,45,0,1,0
2021-03-25,中国,CN,北京市,110000,昌平区,110114,30,0,1,0
2021-03-25,中国,CN,北京市,110000,大兴区,110115,134,0,16,0
2021-03-25,中国,CN,北京市,110000,怀柔区,110116,8,0,0,0
2021-03-25,中国,CN,北京市,110000,平谷区,110117,0,0,0,0
2021-03-25,中国,CN,北京市,110000,密云区,110118,7,0,0,0
2021-03-25,中国,CN,北京市,110000,延庆区,110119,1,0,0,0
2021-03-25,中国,CN,天津市,120000,,,372,0,353,3
2021-03-25,中国,CN,天津市,120000,外地来津,1200xy,6,0,6,0
2021-03-25,中国,CN,天津市,120000,境外输入,1200y0,225,0,209,0
2021-03-25,中国,CN,天津市,120000,和平区,120101,6,0,6,0
2021-03-25,中国,CN,天津市,120000,河东区,120102,15,0,14,1
2021-03-25,中国,CN,天津市,120000,河西区,120103,4,0,4,0
2021-03-25,中国,CN,天津市,120000,南开区,120104,6,0,6,0
2021-03-25,中国,CN,天津市,120000,河北区,120105,12,0,12,0
2021-03-25,中国,CN,天津市,120000,红桥区,120106,2,0,2,0
2021-03-25,中国,CN,天津市,120000,东丽区,120110,4,0,4,0
2021-03-25,中国,CN,天津市,120000,西青区,120111,4,0,4,0
2021-03-25,中国,CN,天津市,120000,津南区,120112,2,0,2,0
2021-03-25,中国,CN,天津市,120000,北辰区,120113,7,0,7,0
2021-03-25,中国,CN,天津市,120000,武清区,120114,2,0,2,0
2021-03-25,中国,CN,天津市,120000,宝坻区,120115,60,0,58,2
2021-03-25,中国,CN,天津市,120000,滨海新区,120116,13,0,13,0
2021-03-25,中国,CN,天津市,120000,宁河区,120117,4,0,4,0
2021-03-25,中国,CN,天津市,120000,静海区,120118,0,0,0,0
2021-03-25,中国,CN,天津市,120000,蓟州,120225,0,0,0,0
2021-03-25,中国,CN,河北省,130000,,,1317,0,1310,7
2021-03-25,中国,CN,河北省,130000,境外输入,1300y0,36,0,36,0
2021-03-25,中国,CN,河北省,130000,石家庄市,130100,898,0,897,1
2021-03-25,中国,CN,河北省,130000,唐山市,130200,58,0,57,1
2021-03-25,中国,CN,河北省,130000,秦皇岛市,130300,10,0,9,1
2021-03-25,中国,CN,河北省,130000,邯郸市,130400,32,0,32,0
2021-03-25,中国,CN,河北省,130000,邢台市,130500,94,0,93,1
2021-03-25,中国,CN,河北省,130000,保定市,130600,34,0,34,0
2021-03-25,中国,CN,河北省,130000,雄县,130638,13,0,13,0
2021-03-25,中国,CN,河北省,130000,定州市,130682,2,0,2,0
2021-03-25,中国,CN,河北省,130000,张家口市,130700,43,0,43,0
2021-03-25,中国,CN,河北省,130000,承德市,130800,7,0,7,0
2021-03-25,中国,CN,河北省,130000,沧州市,130900,49,0,46,3
2021-03-25,中国,CN,河北省,130000,廊坊市,131000,33,0,33,0
2021-03-25,中国,CN,河北省,130000,衡水市,131100,8,0,8,0
2021-03-25,中国,CN,山西省,140000,,,241,0,240,0
2021-03-25,中国,CN,山西省,140000,境外输入,1400y0,103,0,102,0
2021-03-25,中国,CN,山西省,140000,太原市,140100,21,0,21,0
2021-03-25,中国,CN,山西省,140000,大同市,140200,12,0,12,0
2021-03-25,中国,CN,山西省,140000,阳泉市,140300,4,0,4,0
2021-03-25,中国,CN,山西省,140000,长治市,140400,8,0,8,0
2021-03-25,中国,CN,山西省,140000,晋城市,140500,10,0,10,0
2021-03-25,中国,CN,山西省,140000,朔州市,140600,8,0,8,0
2021-03-25,中国,CN,山西省,140000,晋中市,140700,41,0,41,0
2021-03-25,中国,CN,山西省,140000,运城市,140800,19,0,19,0
2021-03-25,中国,CN,山西省,140000,忻州市,140900,7,0,7,0
2021-03-25,中国,CN,山西省,140000,临汾市,141000,2,0,2,0
2021-03-25,中国,CN,山西省,140000,吕梁市,141100,6,0,6,0
2021-03-25,中国,CN,内蒙古自治区,150000,,,371,0,367,1
2021-03-25,中国,CN,内蒙古自治区,150000,境外输入,1500y0,266,0,263,0
2021-03-25,中国,CN,内蒙古自治区,150000,呼和浩特市,150100,7,0,7,0
2021-03-25,中国,CN,内蒙古自治区,150000,包头市,150200,11,0,11,0
2021-03-25,中国,CN,内蒙古自治区,150000,乌海市,150300,2,0,2,0
2021-03-25,中国,CN,内蒙古自治区,150000,赤峰市,150400,9,0,9,0
2021-03-25,中国,CN,内蒙古自治区,150000,通辽市,150500,7,0,7,0
2021-03-25,中国,CN,内蒙古自治区,150000,鄂尔多斯市,150600,11,0,11,0
2021-03-25,中国,CN,内蒙古自治区,150000,呼伦贝尔市,150700,37,0,37,0
2021-03-25,中国,CN,内蒙古自治区,150000,巴彦淖尔市,150800,8,0,7,1
2021-03-25,中国,CN,内蒙古自治区,150000,乌兰察布市,150900,3,0,3,0
2021-03-25,中国,CN,内蒙古自治区,150000,兴安盟,152200,1,0,1,0
2021-03-25,中国,CN,内蒙古自治区,150000,锡林郭勒盟,152500,9,0,9,0
2021-03-25,中国,CN,内蒙古自治区,150000,阿拉善盟,152900,0,0,0,0
2021-03-25,中国,CN,辽宁省,210000,,,407,0,404,2
2021-03-25,中国,CN,辽宁省,210000,境外输入,2100y0,96,0,95,0
2021-03-25,中国,CN,辽宁省,210000,沈阳市,210100,70,0,70,0
2021-03-25,中国,CN,辽宁省,210000,大连市,210200,161,0,161,0
2021-03-25,中国,CN,辽宁省,210000,鞍山市,210300,4,0,4,0
2021-03-25,中国,CN,辽宁省,210000,抚顺市,210400,1,0,1,0
2021-03-25,中国,CN,辽宁省,210000,本溪市,210500,3,0,3,0
2021-03-25,中国,CN,辽宁省,210000,丹东市,210600,11,0,11,0
2021-03-25,中国,CN,辽宁省,210000,锦州市,210700,12,0,12,0
2021-03-25,中国,CN,辽宁省,210000,营口市,210800,1,0,1,0
2021-03-25,中国,CN,辽宁省,210000,阜新市,210900,8,0,8,0
2021-03-25,中国,CN,辽宁省,210000,辽阳市,211000,3,0,3,0
2021-03-25,中国,CN,辽宁省,210000,盘锦市,211100,11,0,11,0
2021-03-25,中国,CN,辽宁省,210000,铁岭市,211200,8,0,8,0
2021-03-25,中国,CN,辽宁省,210000,朝阳市,211300,6,0,5,1
2021-03-25,中国,CN,辽宁省,210000,葫芦岛市,211400,12,0,11,1
2021-03-25,中国,CN,吉林省,220000,,,573,0,570,3
2021-03-25,中国,CN,吉林省,220000,境外输入,2200y0,19,0,19,0
2021-03-25,中国,CN,吉林省,220000,长春市,220100,150,0,150,0
2021-03-25,中国,CN,吉林省,220000,吉林市,220200,48,0,47,1
